"Name","Purpose Statement","Affiliation"
"CRIS Community Connectors at Ohio State","CRIS Community Connectors at Ohio State aims to establish a campus presence for the Community Refugee and Immigration Services, a non-profit...","Columbus, Community Service/Service Learning, Awareness/Activism, Ethnic/Cultural,"
"The Crohn's and Colitis Foundation at The Ohio State University","The Crohn's and Colitis Foundation at The Ohio State University shall spread awareness about Inflammatory Bowel Diseases (IBD), such as Croh...","Columbus, Awareness/Activism, Community Service/Service Learning"
"Crops and Soils Club","Fostering a community of growth and learning in the realm of learning about crops and soils.","Columbus, Academic/College, Special Interest"
"CrossSports","CrossSports’ purpose is to come alongside, resource, and encourage athletes' and coaches' growth in Christ. We will help Ohio State student-...","Columbus, Religious/Spiritual, Community Service/Service Learning, Sports and Recreation"
"Crosswalk Outreach to the Homeless","Crosswalk Outreach to the Homeless strives to give friendship, aid, and camaraderie to our brothers and sisters living on the streets of Col...","Columbus, Community Service/Service Learning, Awareness/Activism,"
"CRU (Campus Crusade for Christ)","","Wooster, Religious/Spiritual"
"Cru at Ohio State","Cru at Ohio State is an interdenominational student Christian organization seeking to provide a spiritual environment for students desiring ...","Columbus, Religious/Spiritual, Awareness/Activism, Community Service/Service Learning"
"The Crucible Organization","To develop a versatile skillset in entrepreneurial students intrigued by startups, bolstered by practical experience, that is vital for thri...","Columbus, Special Interest, Academic/College"
"CSCA at Ohio State","CSCA at Ohio State is the student organization of visual communication designers at The Ohio State University Department of Design. The orga...","Columbus, Academic/College, Creative and Performing Arts"
"CSE/CIS Peer Mentors","CSE/CIS Peer Mentors is an organization to provide Computer Science & Engineering (CSE) and Computer Information Science (CIS) upperclassmen...","Columbus, Academic/College, Community Service/Service Learning"
"CTRL + Paint","CTRL + Paint is a traditional oil painting and digital art club. Our club provides oil painting resources such as paints, brushes, canvases,...","Columbus, Creative and Performing Arts, Community Service/Service Learning, Special Interest"
"Culinary Association","Experience and explore culture, nutrition, and healthy living through collaborative events around food.","Columbus, Ethnic/Cultural, Special Interest"
"Culinary Medicine","Culinary Medicine aims to increase the knowledge of future healthcare professionals about food preparation and nutrition in relation to thei...","Columbus, Special Interest"
"Cultivate Columbus","We seek to connect Ohio State students and the larger Columbus community with the resources to start and maintain sustainable, organic commu...","Columbus, Community Service/Service Learning, Academic/College, Awareness/Activism, Special Interest"
"Cultivating Change at Ohio State","The Ohio State University chapter of Cultivating Change aims to provide a safe, inclusive network for students who are interested in food, a...","Columbus, Academic/College, Awareness/Activism"
"Cultural Awareness, Representation, and Education","Cultural Awareness, Representation, and Education (CARE) seeks to enhance medical training by bolstering cultural competency among the next ...","Columbus, Awareness/Activism, Ethnic/Cultural"
"Cultural Awareness, Respect, and Equity Rx","CARE Rx is a student run organization that is committed to promoting an academically enriching and supportive environment, allowing all stud...","Columbus, Academic/College, Awareness/Activism, Ethnic/Cultural"
"Cultures and Travel Club","Cultures and Travel Club was created to bring people together to celebrate unique festivals, holidays and traditions with the local and inte...","Columbus, Ethnic/Cultural, Awareness/Activism, Community Service/Service Learning, Special Interest"
"The CVM Animal Behavior & Welfare Club at The Ohio State University","Our mission is to educate veterinary students with the most up to date information on animal behavior and welfare and how to incorporate tha...","Columbus, Academic/College, Special Interest"
"Cyber Security Club","Our purpose is to promote cyber and information security across the university community, teach the different tools used in both defensive a...","Columbus, Technology, Special Interest, Academic/College,"
"Cycling - Sport Club","The Ohio State University Cycling team is a group of collegiate riders across multiple cycling disciplines that exist to support and develop...","Columbus, Sports and Recreation"
"Daebak","Daebak is a vocal performance group that focuses on advocating the education and appreciation of different Asian cultures through music. Wit...","Columbus, Creative and Performing Arts, Ethnic/Cultural, Special Interest"
"Dairy Cattle Judging Team","The Ohio State ATI Intercollegiate Dairy Cattle Judging Team competes against other 2-year and post-secondary universities and colleges in t...","Wooster, Special Interest"
"Dairy Club","The Ohio State ATI Dairy Club is a student lead organization based upon the ever-changing dairy industry. Our doors are open to all students...","Wooster, Special Interest"
"Dance at Heart Club","To allow students not only be exposed to dance, but also be involved in their community through dance.","Lima, Special Interest"
"Dance Coalition at The Ohio State University","The purpose of this organization is to show how various dance forms from different cultures can merge.  Dancers will learn and combine eleme...","Columbus, Creative and Performing Arts, Ethnic/Cultural, Sports and Recreation"
"Dance Connection","Dance Connection is a multi-genre dance organization at Ohio State that provides performance opportunities to students and community members...","Columbus, Creative and Performing Arts, Special Interest"
"Dance Irregulars","The purpose of Dance Irregulars is to provide a dance community that can teach and encourage hip-hop and jazz dance workshops to dancers of ...","Columbus, Creative and Performing Arts, Special Interest, Sports and Recreation"
"Dance of the Soul from China","""Dance is the art of the Soul."" People from different culture, with different technical skill levels, can all dance together if he/she has t...","Columbus, Creative and Performing Arts, Ethnic/Cultural, Special Interest, Sports and Recreation"
"Dancers in Graduate School","We aim to provide resources and funding for creative and scholarly research, performances, and presentations. We also will provide a platfor...","Columbus, Creative and Performing Arts, Academic/College, Special Interest"
"DanceSport at The Ohio State University - Sport Club","The primary purpose of DanceSport at OSU - Competition Team is to promote the appreciation and recognition of ballroom dancing as a positive...","Columbus, Sports and Recreation, Special Interest, Creative and Performing Arts"
"The Daphne Project","Our purpose is to educate older adults in the local Columbus community on health risks and preventative strategies in an interactive format....","Columbus, Community Service/Service Learning, Academic/College"
"The Deaf-Hearing Club at The Ohio State University","To bring together people of all ages and all levels of fluency in American Sign Language, within and outside of The Ohio State University, t...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning, Special Interest"
"DECA","DECA prepares emerging leaders and entrepreneurs for careers in marketing, finance, hospitality and management in high schools and colleges ...","Newark, Academic/College"
"Decision Psychology","Decision Psychology is Graduate Student interest group for students with an interest in decision making.","Columbus, Academic/College, Special Interest"
"Delight College Ministries","The heart of Delight Ministries is to provide an environment for women to vulnerably share about how Christ has been at work in their lives....","Columbus, Religious/Spiritual, Community Service/Service Learning, Special Interest"
"Delta Chi Fraternity at The Ohio State University","To promote friendship, develop character, advance justice, and assist in the acquisition of a sound education.","Columbus, Social Fraternities/Sororities, Academic/College, Community Service/Service Learning,"
"Delta Gamma","Delta Gamma offers to women of all ages a rich heritage, a continuity based on sound and tested principles of personal integrity, personal r...","Columbus, Social Fraternities/Sororities, Community Service/Service Learning"
"Delta Omega Kappa","The objectives of the sorority are to bring together students in medically related majors, to provide them with the knowledge, motivation, a...","Columbus, Academic/College, Social Fraternities/Sororities"
"Delta Phi Lambda Sorority, Inc.","Delta Phi Lambda Sorority, Inc.advocates Asian awareness, empowers women leaders through its values-based programs, and forges Everlasting S...","Columbus, Ethnic/Cultural, Awareness/Activism, Community Service/Service Learning,"
"Delta Phi Omega Sorority, Inc.","The organization will host academic, service, social and cultural events. The purpose of the organization is to empower women and promote So...","Columbus, Social Fraternities/Sororities, Community Service/Service Learning, Academic/College,"
"Delta Sigma Delta Dental Fraternity","An international dental fraternity that brings together the leaders of the profession to further excellence in the ethical, professional and...","Columbus, Academic/College, Social Fraternities/Sororities"
"Delta Sigma Phi","The Delta Sigma Phi Fraternity in convention assembled declares and affirms the following principles:  That the belief in God is essential t...","Columbus, Social Fraternities/Sororities, Community Service/Service Learning,"
"Delta Sigma Pi","Delta Sigma Pi is a professional fraternity organized to foster the study of business in universities; to encourage scholarship, social acti...","Columbus, Academic/College, Community Service/Service Learning, Special Interest"
"Delta Sigma Theta Sorority, Inc.","Delta Sigma Theta Sorority, Inc. is an organization of college-educated women committed to the constructive development of its members, and ...","Columbus, Social Fraternities/Sororities, Awareness/Activism, Community Service/Service Learning, Ethnic/Cultural"
"Delta Tau Delta Fraternity,  Beta Phi Chapter","The Beta Phi chapter of Delta Tau Delta International Fraternity is dedicated to the continual ascension towards greatness and superiority a...","Columbus, Social Fraternities/Sororities, Community Service/Service Learning, Honoraries/Honor Societies, Academic/College"
"Delta Theta Sigma Agricultural Fraternity","We the Members of Delta Theta Sigma Fraternity,  In order to promote agriculture, to secure a higher degree of scholarship, to foster the sp...","Columbus, Social Fraternities/Sororities, Special Interest"
"Delta Zeta","The purpose of this sorority shall be to unite its members in the bonds of sincere and lasting friendship, to stimulate one another in the p...","Columbus, Social Fraternities/Sororities"
"Dental Anesthesia Club for Students","DACS is centered on on in-office medical emergency management with supplemental discussions of sedation within dentistry.","Columbus, Academic/College, Community Service/Service Learning"
"Dental Diners & Dives","Dental Diners and Dives aims to increase the knowledge of future healthcare professionals about food preparation and nutrition in relation t...","Columbus, Academic/College, Community Service/Service Learning, Ethnic/Cultural"
"Dental Entrepreneur Society at The Ohio State University College of Dentistry","Dental Entrepreneur Society at The Ohio State University is established to provide educational and networking opportunities to dental studen...","Columbus, Academic/College, Special Interest"
"Dental Esthetics Club at Ohio State","The Dental Esthetics Club focuses on utilizing multi-disciplinary considerations and techniques to achieve exceptional patient esthetic outc...","Columbus, Academic/College"
"Dental Hygiene Senior Class Student Organization","A group of student leaders that advocate for the Dental Hygiene Senior Class.","Columbus, Special Interest, Academic/College,"
"Dental Pride Alliance","The Dental Pride Alliance (hereafter referred to as DPA) of The Ohio State University College of Dentistry (OSUCoD) is a professional studen...","Columbus, Ethnic/Cultural, Academic/College, Awareness/Activism, Community Service/Service Learning"
"Department of East Asian Languages and Literatures Undergraduate Student Organization","Cultivating a greater sense of community and belonging amongst DEALL Undergraduate students, professors, and undergraduates interested in Ea...","Columbus, Academic/College, Ethnic/Cultural, Special Interest"
"Der Deutschklub von Ohio State Newark","We are a group of students and faculty who are interested in learning and participating in German language and culture.","Newark, Academic/College"
"Dermatology Interest Group","The dermatology interest group will provide all medical students with the opportunity to learn more about the field of dermatology and conne...","Columbus, Academic/College"
"Dermatology Ultrasound Community of Practice","The purpose of the Dermatology COP is to foster increased interest in both Dermatology and Ultrasound. The utility of ultrasound is rapidly ...","Columbus, Academic/College, Technology"
"Design for 90","Design for 90 aims to provide students with an opportunity to be involved in a collaborative learning environment and put to use their skill...","Columbus, Community Service/Service Learning, Academic/College, Awareness/Activism,"
"Design ThinkTank","At Design ThinkTank, our mission is to expose a diverse group of students to the creative problem solving framework of Design Thinking and e...","Columbus, Academic/College, Community Service/Service Learning, Special Interest, Technology"
"Design/Build/Fly","Design/Build/Fly's goal is to compete in the annual AIAA Design/Build/Fly competition by to creating a radio controlled electric aircraft.","Columbus, Academic/College, Special Interest, Technology"
"Dhadkan","To provide a South Asian A Cappella group that expresses their Asian American culture through music.","Columbus, Creative and Performing Arts, Ethnic/Cultural"
"The Diabetes Link","The College Diabetes Network’s mission is to provide innovative peer-based programs which connect and empower students and young professiona...","Columbus, Awareness/Activism, Community Service/Service Learning, Ethnic/Cultural"
"Diagnostic Radiology Interest Group","The purpose of the Diagnostic Radiology Interest Group is to provide students in the OSU College of Medicine with an avenue to explore the m...","Columbus, Academic/College, Special Interest"
"Diamond Grove Scholars","Diamond Grove Scholars' mission is to create a place for all students in space. We are here for students K-Ph.D. and we welcome any and all ...","Columbus, Academic/College, Special Interest, Technology"
"Digital Art Club","Digital Art Club is an organization committed to building a stronger art community by engaging in the members’ academic and professional int...","Columbus, Creative and Performing Arts, Technology, Academic/College"
"Disability Advocacy Coalition - Medicine","The purpose of Disability Advocacy Coalition – Medicine (DAC-Med) is three-fold: 1) to increase inclusion in the field of medicine concernin...","Columbus, Awareness/Activism, Academic/College, Community Service/Service Learning, Special Interest"
"Disability Studies Graduate Student Association","This organization is for those graduate students who are completing the interdisciplinary specialization in disability studies or who are in...","Columbus, Academic/College, Awareness/Activism"
"Disc Golf Club at Ohio State","Disc Golf Club at Ohio State promotes the sport of disc golf on campus and provides a disc golf community for students. The club is open to ...","Columbus, Sports and Recreation, Special Interest"
"Disc With Docs","To provide OSU healthcare students an avenue to stay active and learn about ultimate frisbee. We will also provide a way to network with hea...","Columbus, Sports and Recreation, Special Interest"
"Disciples on Campus","To help people gain an understanding of Jesus and Christianity as well as apply those principles through serving, fellowship, bible studies,...","Columbus, Religious/Spiritual"
"Dispute Resolution and Youth","DRY seeks to provide Moritz students with the opportunity to gain more experience in dispute resolution and interaction with the local commu...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning"
"Diversty Devlopers at The Ohio State University","Our club is dedicated to ensuring computer science is accessible to all, particularly marginalized groups such as women, racial minorities, ...","Columbus, Technology, Academic/College, Awareness/Activism, Special Interest"
"DJ Club at Ohio State","Founded in the spring of 2018, the purpose of DJ Club at Ohio State is to connect and educate DJ’s. We will host workshops to teach beginner...","Columbus, Creative and Performing Arts, Special Interest, Technology"
"The Doctor of Optometry Private Practice Club","The Doctor of Optometry Private Practice Club prepares optometry students to apply optometric education in the pursuit of building successfu...","Columbus, Academic/College, Special Interest, Technology"
"Doctoral Student Organization in Social Work","To provide resources to prepare Doctoral students to successfully matriculate through their Social Work programs, and to do intentional prog...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning"
"Doctorate of Physical Therapy Program at Ohio State","The mission of the Physical Therapy Division of The Ohio State University is to represent its members and to advance the profession of physi...","Columbus, Academic/College"
"Doctors Without Borders/Medecins Sans Frontieres Friends of MSF Chapter at The Ohio State University","To raise money for and spread awareness about Doctors Without Borders' mission of delivering emergency aid to people affected by armed confl...","Columbus, Awareness/Activism, Academic/College, Community Service/Service Learning, Ethnic/Cultural"
"The Dodgeball Syndicate - Sport Club","The OSU Dodgeball Syndicate forms a group atmosphere that improves its player’s abilities to, communicate as a team, perform in a pressured ...","Columbus, Sports and Recreation, Special Interest"
"Dr. J.H. Bias Black Affinity Group","The Dr. J.H. Bias Black Affinity Group hopes to strengthen and empower the Black community and foster diversity and inclusion of all student...","Columbus, Ethnic/Cultural, Academic/College, Awareness/Activism, Community Service/Service Learning"
"Dragon Phoenix Wushu - Sport Club","Modern wushu is contemporary and competitive form of Chinese Kung Fu encompassing choreographed forms, traditional kung fu techniques/styles...","Columbus, Sports and Recreation, Ethnic/Cultural, Special Interest,"
"Ducks Unlimited at The Ohio State University","Ducks Unlimited at The Ohio State University gives students the opportunity to participate and volunteer in an organization designed to cons...","Columbus, Special Interest, Community Service/Service Learning, Sports and Recreation, Awareness/Activism"
"E-Bike Buckeyes at The Ohio State University","The E-Bike Buckeyes design, build, and test E-Bikes and promote and discuss sustainable urban development of our cities and transportation i...","Columbus, Academic/College, Technology, Special Interest, Sports and Recreation"
"East Asian Student Union","East Asian Student Union or EASU is a foundation where American and international students of East Asian region freely voice out for themsel...","Columbus, Ethnic/Cultural, Awareness/Activism, Special Interest, Sports and Recreation"
"Ebonye Horizons","Student Organization that promotes African American Awareness on campus. All are welcome.","Newark, Ethnic/Cultural"
"Echo Chinese Student Organization","Echo Chinese Student Organization (Echo) is a nonprofit registered student organization at the Ohio State University established by enthusia...","Columbus, Governance Organizations, Ethnic/Cultural, Academic/College"
"Eco-Peace","Eco-Peace is an Ohio State club that represents the standard of excellence that students feel toward the love of the Earth and their campus...","Columbus, Community Service/Service Learning, Awareness/Activism, Creative and Performing Arts, Religious/Spiritual"
"EcoCAR Challenge Team at The Ohio State University","The EcoCAR Team at the Ohio State University is a group of undergraduate and graduate students who convert a GM donated vehicle into a hybri...","Columbus, Academic/College, Technology"
"Ecological Engineering Society","To educate ourselves and others about ecological engineering and its potential uses, to develop our potential as ecological engineers throug...","Columbus, Community Service/Service Learning, Academic/College, Awareness/Activism, Special Interest"
"Economics Graduate Student Society","The purpose of the Society is to foster community among graduate students of the Economics department, facilitate student-faculty-staff rela...","Columbus, Academic/College, Governance Organizations, Special Interest,"
"EcoSpace Columbus","Eco Space is a student run organization with the goal of acting as a ""mini environmental protection agency"" within the Columbus area and bey...","Columbus, Awareness/Activism, Academic/College, Community Service/Service Learning, Technology"
"Education Club","To promote education and new knowledge to students, staff and the community","Lima, Academic/College"
"Educational Philosophy, History, and Policy Graduate Student Group","The purpose of EPHP is to bring together graduate students who major, or are professionally interested, in philosophy of education, history ...","Columbus, Academic/College"
"Edward S. ""Beanie"" Drake Student Leader Endowment Fund","The purpose of this scholarship is to provide funds that enable deserving students to participate in campus activities when need might other...","Columbus, Honoraries/Honor Societies, Academic/College, Awareness/Activism, Community Service/Service Learning"
"EERI Ohio State University Student Chapter","The purpose of forming an Earthquake Engineering Research Institute (EERI) chapter is to promote awareness, education, and research in earth...","Columbus, Academic/College, Special Interest"
"Effective Altruism at Ohio State","Effective Altruism at Ohio State aims to promote effective altruism in all its forms, including encouraging increased charitable donations a...","Columbus, Awareness/Activism, Community Service/Service Learning, Technology"
"The Egality Coalition at The Ohio State University","The purpose of this organization is to promote equity and justice in public policy. These ideas center around strong workers’ rights, public...","Columbus, Awareness/Activism"
"Egyptian Student Association at The Ohio State University","The Egyptian Student Association is devoted to creating and maintaining an environment beneficial to the interests of primarily its members ...","Columbus, Ethnic/Cultural, Awareness/Activism"
"Electronics Club","The purpose of the Electronics Club is to: A)	To promote education in the field of electronics B)	To stimulate interest in the field of elec...","Columbus, Technology, Special Interest, Academic/College"
"Elohist Bible Study","Elohist Bible Study Club aims to deliver comfort and warmheartedness of Mother to all students across campus.","Columbus, Religious/Spiritual, Community Service/Service Learning"
"Emergency Medicine Interest Group","The Emergency Medicine Interest Group is a group for medical students with a special interest in emergency medicine.  The EMIG will provide ...","Columbus, Academic/College, Special Interest"
"Emergency Medicine Ultrasound Community of Practice","The Emergency Medicine Ultrasound Community of Practice hopes to unite medical students, residents, fellows, and faculty within a single Com...","Columbus, Academic/College"
"EMIC: Graduate Student Interest Group for Expressive Culture","EMIC exists as a scholarly and social interest group for students involved in the study of expressive culture at the Ohio State University w...","Columbus, Creative and Performing Arts, Academic/College, Community Service/Service Learning, Special Interest"
"Empower Mentoring","Empower Mentoring expands economic opportunity in the United States by equipping urban youth to believe in themselves, navigate the financia...","Columbus, Community Service/Service Learning, Academic/College, Awareness/Activism,"
"Empower Sports at The Ohio State University","Empower Sports at The Ohio State University’s mission is to harness the power of competition and teamwork in sports to build the self-confid...","Columbus, Community Service/Service Learning, Awareness/Activism, Sports and Recreation"
"Empower Through Health at The Ohio State University","To improve healthcare access to a vulnerable population by strengthening local healthcare capacity and addressing root causes of poor mental...","Columbus, Awareness/Activism, Community Service/Service Learning, Ethnic/Cultural"
"EmpowHER","We strive to provide girls and nonbinary students the opportunity to lead and thrive, providing them the tools to become change-makers in th...","Columbus, Community Service/Service Learning, Awareness/Activism"
"ENCompass: Empowering Neighborhoods of Columbus","1. To cultivate interdisciplinary student leadership through volunteer immersion experiences in the Columbus community. 2. To empower indivi...","Columbus, Community Service/Service Learning, Awareness/Activism, Technology"
"Endo Club","To provide an informative, fun and relaxed setting for Ohio State's dental/hygiene students interested in endodontics. We plan to meet Thurs...","Columbus, Academic/College, Creative and Performing Arts, Special Interest"
"Energy and Environmental Law Society","The purposes of the Energy and Environmental Law Society shall be:  (1) To promote awareness of legal, policy, and regulatory issues that af...","Columbus, Academic/College, Awareness/Activism, Governance Organizations"
"Engineering Club","The Engineering Club's aim is to provide further explanation into the professional field of engineering and give students a glimpse at the d...","Marion, Academic/College"
"Engineers for a Sustainable World","A world in which engineering fosters environmental, social, and economic sustainability to improve both the quality of life and the conditio...","Columbus, Academic/College, Community Service/Service Learning, Technology, Awareness/Activism"
"Engineers for Community Service","We are a student organization at The Ohio State University, promoting life-long professionalism via educational experiences in the uses of e...","Columbus, Community Service/Service Learning, Academic/College, Technology"
"Engineers Without Borders at The Ohio State University","Engineers Without Borders (EWB) is an international organization that applies engineering solutions to aid in the development of underprivil...","Columbus, Community Service/Service Learning, Awareness/Activism, Special Interest,"
"Engineers' Council","Serving as Ohio State's Engineering Student Organization Governance Body, the Engineers' Council represents the voice of the Students to Col...","Columbus, Academic/College, Governance Organizations, Technology"
"English Graduate Organization","The English Graduate Organization (EGO) is the graduate student association that assures and expedites student involvement in English Depart...","Columbus, Academic/College, Creative and Performing Arts, Media, Journalism, and Creative Writing,"
"English Undergraduate Organization","The English Undergraduate Organization seeks to connect and support undergraduate students majoring or minoring in English at The Ohio State...","Columbus, Academic/College, Community Service/Service Learning, Media, Journalism, and Creative Writing, Special Interest"
"Enlighten Anti-Human Trafficking","Enlighten mobilizes students to confront human trafficking and create a culture of compassion through on-campus awareness, direct community ...","Columbus, Awareness/Activism, Community Service/Service Learning"
"ENT Interest Group","To promote and expose students to the field of Otolaryngology (ENT) through conferences, volunteerism, and discussion.","Columbus, Academic/College, Special Interest"
"Entomology Graduate Student Association","EGSA provides graduate students affiliated with The Ohio State University (OSU) Department of Entomology with various opportunities related ...","Columbus, Academic/College, Community Service/Service Learning, Awareness/Activism"
"Environmental Science Graduate Program Student Association","The Environmental Science Graduate Program Student Association (ESGP-SA) works to foster community and professional development in the ESGP....","Columbus, Academic/College"
"Epigenetics Group at Ohio State/NCH","We the members of CEG at Ohio State hereby associate ourselves to: A.	Provide for the members a voice in matters affecting them in the Ohio ...","Columbus, Academic/College, Special Interest"
"Epsilon Psi Epsilon","The fraternity shall be known as Epsilon Psi Epsilon Fraternity, and shall have for its objectives the pursuit and cultivation of the practi...","Columbus, Social Fraternities/Sororities, Academic/College"
"Epsilon Tau Pi Brotherhood of Eagle Scouts","We are dedicated to upholding the high ideals of the Eagle rank. These include the ideals of Honor, Loyalty, and Courage, as well as service...","Columbus, Honoraries/Honor Societies, Academic/College, Community Service/Service Learning, Special Interest"
"Equestrian Club, Hunt Seat - Sport Club","To provide any interested student, regardless of skill level, the opportunity to work with, ride, and show horses in a fun and affordable en...","Columbus, Sports and Recreation"
"Eritrean Student Association","The purpose of  ESA is to meet the educational, social, and cultural needs of Eritrean students at The Ohio State University and in the grea...","Columbus, Ethnic/Cultural, Awareness/Activism"
"Eta Kappa Nu","To acknowledge the achievements of outstanding juniors, seniors, graduates, and faculty in Electrical and Computer Engineering, and to provi...","Columbus, Honoraries/Honor Societies, Academic/College, Technology"
"ETHER CRUSH","ETHER CRUSH's purpose is to create music and perform as a professional band for a long-lasting career, all while telling a meaningful story ...","Columbus, Creative and Performing Arts, Media, Journalism, and Creative Writing, Special Interest, Sports and Recreation"
"Euchre Club","The Euchre club strives to teach students how to play euchre, enrich social involvement and have fun.","Newark, Academic/College"
"Evans Scholars, Theta Chapter at Ohio State","The Ohio State Evans Scholars are committed to excelling scholastically. Our goals are to remain the top scholarship house among the many st...","Columbus, Honoraries/Honor Societies, Special Interest, Academic/College, Community Service/Service Learning"
"Evolution and Ecology Club","The purpose of Evolution and Ecology Club is to enhance the academic experience of Ohio State University students, faculty, and staff with i...","Columbus, Academic/College, Special Interest,"
"Exercise and Nutrition Journal Club","The purpose of this group is to create an inclusive academic space to facilitate discussion of topics relating to exercise and nutrition in ...","Columbus, Special Interest, Sports and Recreation"
"Exercise is Medicine - On Campus Club @ The Ohio State University","EIM-OC's purpose is to promote physical activity as a vital sign of health. We encourage faculty, staff and students to work together to imp...","Columbus, Academic/College, Community Service/Service Learning, Special Interest"
"Exercise Science Club","The Exercise Science Club at the Ohio State University will provide opportunities for extra-curricular and professional enhancement of the E...","Columbus, Academic/College, Community Service/Service Learning,"
"Existentialism Society at Ohio State","Well-known continental philosophers to date have explored existentialism based on phenomenology. Based on a general understanding of this, w...","Columbus, Academic/College, Special Interest"
"Exotic Animals in Private Practice","Our club is designated to specifically give veterinary students exposure and experience in the field of exotic animals in private practice. ...","Columbus, Academic/College, Special Interest,"
"EYE Advocates in Diversity","The purpose of EYEAID is to provide a space for pre-optometry students of color at The Ohio State University to connect and support one anot...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning, Ethnic/Cultural"
"Eyes on Health","Eyes on Health aims to better ourselves and the communities we serve through outreach, service, and education with a focus on health and vis...","Columbus, Community Service/Service Learning, Academic/College"
"F.R.I.E.N.D.S","To make social connections on campus through the arts and good food.","Wooster, Special Interest"
"THE F1 Paddock","F1 OSU provides a space for Formula One fans to congregate and watch races together while engaging in conversation revolving around the moto...","Columbus, Sports and Recreation, Special Interest"
"Fabulous Unique Neighborhood Community Council","To create an inclusive, respectful, and encouraging environment for residents of FUN’s jurisdiction and to offer residents opportunities for...","Columbus, Community Service/Service Learning, Awareness/Activism, Governance Organizations, Special Interest"
"Faith & Fitness","Bringing glory to God through faith, fitness, and fellowship.  Our vision is to teach healthy living habits to encourage spiritual, mental, ...","Columbus, Religious/Spiritual, Sports and Recreation, Special Interest"
"Faith Hope Love House of Prayer","To be a body of believers who love God with all our heart, soul, mind, and strength, and love our neighbors as ourselves. We will do this by...","Columbus, Religious/Spiritual, Community Service/Service Learning, Creative and Performing Arts, Awareness/Activism"
"Faith Works Chinese Student Club","a. To promote the sharing of ideas, thoughts and values through discussions over social, cultural and spiritual topics. b. To represent stud...","Columbus, Community Service/Service Learning, Ethnic/Cultural, Religious/Spiritual"
"Falun Dafa Practice Group","Falun Dafa is a self-cultivation practice based on the principles of Truthfulness, Compassion, and Tolerance. There are also five meditative...","Columbus, Religious/Spiritual, Ethnic/Cultural, Awareness/Activism, Sports and Recreation"
"Family Guy Club","Our club is a safe space for all fans of the great TV show, Family Guy. Whether members want to take a break from their schoolwork, get some...","Columbus, Creative and Performing Arts, Media, Journalism, and Creative Writing, Special Interest, Technology"
"Family Medicine Interest Group","The purpose of the Family Medicine Interest Group (FMIG) at the Ohio State University College of Medicine is to promote the values and visio...","Columbus, Academic/College, Special Interest"
"Family Medicine Point-of-Care Ultrasound","The specialty of family medicine has a wide breadth intended to provide comprehensive care to all body systems of patients of all ages, in a...","Columbus, Academic/College, Special Interest, Technology"
"Fantasy Football Club at The Ohio State University","Hello and welcome to Fantasy Football Club at The Ohio State University! Our goal is to promote fantasy football within The Ohio State commu...","Columbus, Sports and Recreation, Special Interest, Technology"
"FarmHouse Fraternity, The Alpha Tau Zeta Chapter","The object of our fraternity is to promote good fellowship, to encourage studiousness, and to inspire its members in seeking the best in the...","Columbus, Social Fraternities/Sororities, Academic/College, Community Service/Service Learning,"
"Fashion & Retail Studies Student Ambassador Program","The purpose of the Fashion & Retail Studies Student Ambassador Program is to serve as the center point of the Fashion & Retail Studies major...","Columbus, Academic/College, Community Service/Service Learning, Honoraries/Honor Societies"
"The Fashion Collective","Mission Statement of The Fashion Collective and Magazine:  At The Fashion Collective, we are more than just a student organization and magaz...","Columbus, Special Interest"
"The Fashion Production Association","To provide students within the Fashion and Retail Studies program in the college of Education and Human Ecology with the opportunity to publ...","Columbus, Academic/College, Community Service/Service Learning, Special Interest, Creative and Performing Arts"
"The Federalist Society at The Ohio State University Moritz College of Law","The Federalist Society at The Ohio State University is an organization interested in free thought and debate on the current state of the leg...","Columbus, Awareness/Activism, Academic/College"
"Fellowship of Christian Optometrists","The purpose of the Fellowship of Christian Optometrists is to establish and advance at colleges and universities witnessing communities of s...","Columbus, Religious/Spiritual, Academic/College, Community Service/Service Learning"
"Fellowship of Student Anatomists","To promote and foster leadership, scholarship, and community within the Division of Anatomy.","Columbus, Academic/College"
"Fem Stem","Fem Stem is a branch of The Be W.I.S.E Initiative, a 501c nonprofit that has inspired 4,860+ women in STEM and has numerous chapters through...","Columbus, Community Service/Service Learning, Academic/College, Awareness/Activism, Special Interest"
"The Female Gaze Screening Club","Our purpose is to provide a space for students who identify as a female or a gender minority to voice their thoughts and opinions about the ...","Columbus, Special Interest, Awareness/Activism, Creative and Performing Arts"
"Females of Chemistry Uniting Scientists","FOCUS (Females of Chemistry Uniting Scientists) will be a student-run seminar series and community outreach program whose purpose is to prom...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning"
"The Fencing Club - Sport Club","The Buckeye Fencing Club exists with the goal of educating students in the Olympic sport of fencing in a safe, fun and social setting.","Columbus, Sports and Recreation, Special Interest,"
"Field Hockey Co-Ed - Sport Club","The Sport Club program is designed to serve individual interests in different sports and recreational activities. Participation in the progr...","Columbus, Sports and Recreation, Special Interest"
